t,cpu_avg_pct,gpu_pct,ram_used_mb,vdd_in_mw,vdd_cpu_mw,vdd_gpu_mw,vdd_soc_mw,gpu_temp_c,cpu_temp_c
06-16-2026 00:08:11,8.17,12,3171,6008,1602,0,1561,51.843,49.25
06-16-2026 00:08:12,7.17,64,3172,6008,1602,0,1561,51.968,49.093
06-16-2026 00:08:13,7.33,0,3172,5843,1479,0,1520,51.75,49.281
06-16-2026 00:08:14,7.33,22,3172,6008,1602,0,1561,51.718,49.156
06-16-2026 00:08:15,7.17,0,3172,5925,1561,0,1520,51.906,49.312
06-16-2026 00:08:16,8.5,0,3170,5843,1479,0,1520,51.781,49.218
06-16-2026 00:08:17,8.0,0,3170,5967,1561,0,1520,51.718,49.312
06-16-2026 00:08:18,7.0,0,3170,5884,1520,0,1520,52.093,49.218
06-16-2026 00:08:19,9.5,6,3170,5925,1561,0,1520,51.937,49.5
06-16-2026 00:08:20,7.17,6,3170,5967,1561,0,1561,52.062,49.25
06-16-2026 00:08:21,7.67,0,3170,5884,1520,0,1520,52.156,49.156
06-16-2026 00:08:22,8.0,63,3170,6008,1599,0,1561,52.062,49.375
06-16-2026 00:08:23,7.0,4,3170,5967,1561,0,1561,51.937,49.156
06-16-2026 00:08:24,8.0,0,3171,5843,1520,0,1520,52.125,49.562
06-16-2026 00:08:25,9.33,0,3171,5967,1561,0,1561,52.156,49.187
06-16-2026 00:08:26,8.83,0,3171,5884,1520,0,1520,51.968,49.5
06-16-2026 00:08:27,8.17,29,3172,5967,1561,0,1520,52.312,49.375
06-16-2026 00:08:28,6.5,0,3172,5925,1520,0,1520,52.125,49.531
06-16-2026 00:08:29,7.0,0,3172,5843,1520,0,1520,51.937,49.375
06-16-2026 00:08:30,7.83,11,3172,6090,1640,0,1561,52.093,49.593
06-16-2026 00:08:31,7.0,64,3172,6008,1602,0,1561,52.25,49.5
06-16-2026 00:08:32,6.83,0,3172,5843,1479,0,1520,52.031,49.281
06-16-2026 00:08:33,6.83,23,3172,5967,1602,0,1561,52.062,49.531
06-16-2026 00:08:34,7.17,0,3171,5925,1520,0,1520,52.187,49.25
06-16-2026 00:08:35,8.0,0,3171,5843,1520,0,1520,51.937,49.625
06-16-2026 00:08:36,7.0,0,3171,5967,1561,0,1520,52.0,49.375
06-16-2026 00:08:37,6.17,0,3170,5884,1479,0,1520,52.125,49.5
06-16-2026 00:08:38,7.67,64,3170,5967,1561,0,1561,52.125,49.437
06-16-2026 00:08:39,6.17,6,3169,5925,1561,0,1561,52.156,49.656
06-16-2026 00:08:40,7.17,0,3169,5843,1520,0,1520,52.187,49.406
06-16-2026 00:08:41,7.5,53,3169,6049,1640,0,1561,52.187,49.437
06-16-2026 00:08:42,6.5,28,3169,5967,1561,0,1561,52.093,49.406
06-16-2026 00:08:43,6.83,0,3168,5843,1479,0,1520,52.187,49.5
06-16-2026 00:08:44,7.0,0,3169,5967,1561,0,1561,52.218,49.5
06-16-2026 00:08:45,6.17,0,3173,5925,1520,0,1520,52.093,49.437
06-16-2026 00:08:46,7.83,9,3173,5925,1561,0,1520,52.375,49.562
06-16-2026 00:08:47,6.17,0,3173,5884,1520,0,1520,52.25,49.531
06-16-2026 00:08:48,6.83,0,3173,5884,1520,0,1520,52.062,49.5
06-16-2026 00:08:49,8.0,40,3173,6008,1602,0,1561,52.281,49.781
06-16-2026 00:08:50,6.0,53,3173,6008,1602,0,1561,52.375,49.625
06-16-2026 00:08:51,6.83,0,3172,5843,1479,0,1520,52.062,49.625
06-16-2026 00:08:52,7.5,41,3172,6008,1602,0,1561,52.187,49.656
06-16-2026 00:08:53,6.67,0,3173,5967,1561,0,1561,52.187,49.531
06-16-2026 00:08:54,7.17,0,3173,5843,1479,0,1520,52.187,49.75
06-16-2026 00:08:55,7.0,0,3173,5967,1561,0,1520,52.093,49.5
06-16-2026 00:08:57,6.67,0,3173,5884,1520,0,1520,52.25,49.687
06-16-2026 00:08:58,8.67,51,3173,5967,1561,0,1561,52.406,49.687
06-16-2026 00:08:59,6.5,0,3173,5925,1561,0,1561,52.187,49.781
06-16-2026 00:09:00,7.17,0,3173,5843,1520,0,1520,52.156,49.718
06-16-2026 00:09:01,7.67,34,3173,6049,1599,0,1561,52.406,49.75
06-16-2026 00:09:02,7.17,41,3173,5967,1561,0,1561,52.281,49.593
06-16-2026 00:09:03,7.67,0,3173,5843,1520,0,1520,52.156,49.906
06-16-2026 00:09:04,7.83,0,3173,6008,1602,0,1561,52.375,49.687
06-16-2026 00:09:05,6.83,0,3173,5925,1520,0,1520,52.187,49.718
06-16-2026 00:09:06,7.5,0,3173,5843,1479,0,1520,52.093,49.781
06-16-2026 00:09:07,7.17,0,3173,5925,1520,0,1520,52.343,49.5
06-16-2026 00:09:08,7.0,0,3173,5884,1479,0,1520,52.343,49.781
06-16-2026 00:09:09,8.5,42,3173,6049,1643,0,1561,52.437,49.968
06-16-2026 00:09:10,7.83,32,3173,6049,1602,0,1561,52.468,49.968
06-16-2026 00:09:11,7.17,0,3173,5843,1479,0,1520,52.406,50.0
06-16-2026 00:09:12,7.67,0,3173,6008,1602,0,1561,52.687,49.781
06-16-2026 00:09:13,7.33,0,3174,5967,1561,0,1561,52.656,49.687
06-16-2026 00:09:14,7.67,0,3174,5843,1479,0,1520,52.312,50.062
06-16-2026 00:09:15,7.17,0,3173,5925,1520,0,1520,52.375,49.75
06-16-2026 00:09:16,7.5,0,3174,5884,1520,0,1520,52.593,49.656
06-16-2026 00:09:17,8.33,0,3174,5925,1561,0,1520,52.468,49.968
06-16-2026 00:09:18,6.83,0,3174,5925,1561,0,1561,52.437,49.718
06-16-2026 00:09:19,6.67,0,3169,5843,1479,0,1520,52.562,49.937
06-16-2026 00:09:20,7.67,44,3170,6008,1599,0,1561,52.593,49.812
06-16-2026 00:09:21,6.83,59,3171,6008,1561,0,1561,52.468,50.031
06-16-2026 00:09:22,7.67,0,3171,5843,1520,0,1520,52.562,49.875
06-16-2026 00:09:23,6.83,0,3168,5967,1561,0,1561,52.687,50.0
06-16-2026 00:09:24,6.83,0,3170,5925,1520,0,1520,52.375,49.75
06-16-2026 00:09:25,8.17,0,3171,5884,1520,0,1520,52.687,49.906
06-16-2026 00:09:26,7.0,0,3168,5884,1520,0,1520,52.593,49.75
